identifier,recipe_en,recipe_zh,production_en,production_zh,use_en,use_zh,hazard_en,hazard_zh
OMNI_PT_CATA,Processes fuels peroxide electrochemistry SLAG treatment and cooled waste stabilization.,处理燃料、过氧化物、电化学、炉渣酸处理和冷却废物稳定化。,Place CATA beside the required reactants and supply the needed heat spark or temperature window.,将催化剂放在所需反应物旁，并提供相应温度或火花。,Reusable catalyst for chemical metal biological and nuclear-material reactions.,用于化学、金属、生物和核材料反应的可复用催化剂。,High heat corrosive acid or incomplete radioactive waste inputs require containment.,高热、腐蚀性酸液或不完整的放射性废物输入需要围护。
OMNI_PT_POLY,2 ETHE beside CATA at 430 to 650 K -> 2 POLY; cooled wet waste stabilization converts POLY and NWST into 2 RSHD.,在 430 至 650 K 的催化剂旁 2 份乙烯 -> 2 份聚乙烯；冷却的湿润废物稳定化把聚乙烯和核废料转为 2 份屏蔽体。,Produce polyethylene by ethylene polymerisation or use it in waste stabilization.,通过乙烯聚合制得聚乙烯，或将其用于废物稳定化。,Insulating polyethylene structure and recoverable encapsulation input.,绝缘聚乙烯结构和可回收封装原料。,Heat above 900 K can ignite POLY; missing water or catalyst leaves waste unchanged.,温度高于 900 K 会点燃聚乙烯；缺少水或催化剂时废物保持不变。
OMNI_PT_PERO,2 WATR + O2 beside SPRK(CATA) -> 2 PERO; PERO + PATH -> WATR + HUMS at 285 to 330 K.,通电催化剂旁 2 份水 + 氧气 -> 2 份过氧化氢；285 至 330 K 下过氧化氢 + 病原体 -> 水 + 腐殖质。,Make PERO by sparked catalysis then use it for pathogen treatment or decompose it beside hot CATA.,用通电催化制备过氧化氢，再用于病原处理，或在高温催化剂旁分解。,Oxidizing intermediate oxygen source and chemistry-to-biology treatment reagent.,氧化性中间体、氧气来源和化学—生态处理剂。,Hot CATA preempts pathogen treatment and decomposition can release oxygen into a local empty slot.,高温催化剂会阻止病原处理，分解还会向局部空槽释放氧气。
OMNI_PT_FERT,AMON + ACID -> 2 FERT; wet HUMS + FERT -> NUTR + DUST at 285 to 315 K.,氨气 + 酸液 -> 2 份肥料；285 至 315 K 下湿润腐殖质 + 肥料 -> 营养盐 + 尘埃。,Neutralize ammonia with acid then use FERT beside wet plants or in the HUMS recovery loop.,用酸液中和氨气，再将肥料用于湿润植物或腐殖质回收链。,Supports plants and closes the Omni biology nutrient loop.,支持植物并闭合 Omni 生态营养循环。,It is consumed into DUST during plant support or HUMS recovery.,支持植物或回收腐殖质时会被消耗并转成尘埃。
OMNI_PT_HE,Nearby electricity can excite HE; below 20 K it exchanges a amount of heat with one local neighbour.,附近电流可激发氦；低于 20 K 时与一个局部邻居进行换热。,Use as a very light inert gas or cool it below 20 K for cryogenic heat-transfer experiments.,用作极轻惰性气体，或冷却到 20 K 以下进行低温换热实验。,Low-density inert atmosphere and cryogenic coolant material.,低密度惰性气氛和低温冷却介质。,No combustion reaction; low temperatures can rapidly cool heat-sensitive particles.,不发生燃烧反应；低温可能快速冷却热敏粒子。
OMNI_PT_NE,Local SPRK ELEC PLSM or LIGH can trigger a red-orange photon discharge.,局部火花、电子、等离子体或闪电可触发红橙色光子放电。,Place beside an electrical source to make a short-lived discharge glow.,放在电源附近产生短寿命的放电辉光。,Discharge lighting and inert-atmosphere experiments.,放电照明和惰性气氛实验。,Electrical discharge creates short-lived photons.,电气放电会产生短寿命光子。
OMNI_PT_AR,Local electrical excitation produces a violet photon discharge.,局部电激发会产生紫色光子放电。,Use as an inert shielding gas with moderate density.,用作中等密度的惰性保护气体。,Shielding atmosphere and comparative gas-density experiments.,保护气氛和气体密度对比实验。,Dense pockets can displace lighter gases but do not burn.,高密度气团会排开较轻气体但不会燃烧。
OMNI_PT_KR,Local electrical excitation produces a pale photon discharge.,局部电激发会产生淡色光子放电。,Use for slow-diffusing heavy inert-gas demonstrations.,用于扩散较慢的重质惰性气体演示。,Heavy inert atmosphere and discharge comparisons.,重质惰性气氛和放电对比实验。,The discharge glow fades after a short time.,放电辉光会在短时间后消失。
OMNI_PT_XE,Local electrical excitation produces a strong blue photon discharge and local heat.,局部电激发会产生强烈的蓝色光子放电和局部热量。,Use beside electricity for high-energy discharge-lamp simulations.,放在电源附近模拟高能放电灯。,Dense inert atmosphere and high-energy electrical discharge.,高密度惰性气氛和高能电气放电。,Discharge heat can affect nearby heat-sensitive particles although dense discharges produce extra heat.,放电热量可能影响附近热敏粒子但密集放电会产生额外热量。
OMNI_PT_RN,After a randomized lifetime RN -> POLO + PHOT with heat.,经过随机寿命后氡 -> 钋 + 光子并产生热量。,Contain the dense gas and observe its decay events.,封闭高密度气体并观察其衰变事件。,Radioactive gas containment and shielding experiments.,放射性气体封存和屏蔽实验。,Radioactive and deadly; each decay creates at most one short-lived photon.,具有放射性和致命性；每次衰变至多创建一个短寿命光子。
OMNI_PT_OG,After a short randomized lifetime OG -> RN + PHOT as a short decay chain.,经过短暂随机寿命后鿫 -> 氡 + 光子，作为压缩的衰变链。,Generate short-lived superheavy samples and observe decay.,生成短寿命超重样品并观察衰变。,Superheavy-element and decay-chain experiments.,超重元素和衰变链实验。,Extremely radioactive; dense samples release heat and photons quickly.,放射性极强；密集样品会迅速释放热量和光子。
OMNI_PT_NA,NA + water -> CAUS + H2; NA + ACID -> SALT + H2; hot NA + O2 -> SALT + FIRE.,钠 + 水 -> 苛性气体 + 氢气；钠 + 酸液 -> 盐 + 氢气；高温钠 + 氧气 -> 盐 + 火焰。,Cool LAVA(NA) below 370.87 K.,把熔融钠冷却到 370.87 K 以下。,Hydrogen generation acid salt formation and low-melting metal experiments.,制氢、酸制盐和低熔点金属实验。,Wet or oxidizing contact releases heat pressure and sometimes fire.,接触水或氧化性物质会释放热量、压力并可能产生火焰。
OMNI_PT_K,K + water -> CAUS + H2 with more heat and pressure than NA; acid and hot oxygen form SALT.,钾 + 水 -> 苛性气体 + 氢气，热量和压力高于钠；酸和高温氧气会形成盐类残留物。,Cool LAVA(K) below 336.53 K.,把熔融钾冷却到 336.53 K 以下。,Comparative alkali reactivity molten-metal and salt-formation experiments.,碱金属活性对比、熔融金属和制盐实验。,Reacts more strongly than sodium but the reaction remains local.,反应强于钠，但反应只影响附近粒子。
OMNI_PT_CS,CS + water -> CAUS + H2 + strong heat pressure and fire; acid or hot oxygen forms SALT.,铯 + 水 -> 苛性气体 + 氢气 + 强烈的热量、压力和火焰；酸或高温氧气形成盐类残留物。,Cool LAVA(CS) below 301.59 K.,把熔融铯冷却到 301.59 K 以下。,Very low-melting heavy alkali and violent-water-reaction experiments.,极低熔点重质碱金属和剧烈遇水反应实验。,Bulk contact with water releases intense heat and pressure.,大批量接触水会释放强烈热量和压力。
OMNI_PT_FR,FR + water or acid uses the strongest alkali reaction; FR(tmp=0) -> POLO + one PHOT after 180 to 360 ticks.,钫与水或酸发生族内最强的反应；经过 180 至 360 个刻后钫 -> 钋 + 一个光子。,,,Short-lived radioactive alkali decay containment and shielding experiments.,短寿命放射性碱金属、衰变封存和屏蔽实验。,Extremely radioactive and reactive; each decay emits at most one short-lived photon.,放射性和活性极强；每次衰变至多发射一个短寿命光子。
OMNI_PT_BE,Warm BE + ACID -> SALT + H2; BE reacts with water or O2 only at 900 K or above.,温热铍 + 酸液 -> 盐 + 氢气；铍只在 900 K 或更高温度下与水或氧气反应。,Cool LAVA(BE) below 1560 K.,把熔融铍冷却到 1560 K 以下。,Passivation toxicity warm-acid and high-temperature light-metal experiments.,钝化、毒性、温热酸和高温轻金属实验。,Toxic contact and high-temperature hydrogen or finite-fire release require sealed handling.,有毒接触及高温产生氢气或火焰，需要密闭处理。
OMNI_PT_CA,CA + water -> CAUS + H2; CA + ACID -> SALT + H2; hot CA + O2 -> SALT + orange-red FIRE.,钙 + 水 -> 苛性气体 + 氢气；钙 + 酸液 -> 盐 + 氢气；高温钙 + 氧气 -> 盐 + 橙红色火焰。,Cool LAVA(CA) below 1115 K.,把熔融钙冷却到 1115 K 以下。,Water reaction hydrogen production acid salts flame colour and lime chemistry.,遇水反应、制氢、酸制盐、焰色和石灰化学实验。,Wet or oxidizing contact releases heat pressure hydrogen and fire.,接触水或氧化性物质会释放热量、压力、氢气和火焰。
OMNI_PT_SR,SR + water -> CAUS + H2 with more heat than CA; acid forms SALT; hot oxygen produces red FIRE.,锶 + 水 -> 苛性气体 + 氢气，热量高于钙；酸会形成盐；高温氧气产生红色火焰。,Cool LAVA(SR) below 1050 K.,把熔融锶冷却到 1050 K 以下。,Stronger water reactivity acid salt and red flame-colour experiments.,更强的遇水反应、酸制盐和红色焰色实验。,Water acid or hot oxygen releases heat pressure hydrogen and red fire.,水、酸或高温氧气会释放热量、压力、氢气和红色火焰。
OMNI_PT_BA,BA + water -> CAUS + H2 with strong heat; acid forms SALT; hot oxygen produces green FIRE.,钡 + 水 -> 苛性气体 + 氢气并释放强烈的热量；酸会形成盐；高温氧气产生绿色火焰。,Cool LAVA(BA) below 1000 K.,把熔融钡冷却到 1000 K 以下。,Toxic heavy-metal water acid and green flame-colour experiments.,有毒重金属、遇水、酸和绿色焰色实验。,Toxic and strongly reactive; bulk contact with water reacts very rapidly.,有毒且活泼；大批量接触水会迅速反应。
OMNI_PT_RA,RA uses the strongest alkaline-earth water and acid routes; after 900 to 1800 ticks RA -> RN + one PHOT.,镭使用族内最强的遇水和酸反应；经过 900 至 1800 个刻后镭 -> 氡 + 一个光子。,,,Radioactive alkaline-earth reaction radon decay containment and shielding experiments.,放射性碱土金属反应、氡衰变、封存和屏蔽实验。,Extremely radioactive and reactive; each decay emits at most one short-lived photon.,放射性和活性极强；每次衰变至多发射一个短寿命光子。
OMNI_PT_B,B + NEUT -> LITH + HE with heat; B + hot O2 -> GLAS + FIRE.,硼 + 中子 -> 锂 + 氦并释放热量；硼 + 高温氧气 -> 玻璃态 + 火焰。,Cool LAVA(B) below 2349 K.,把熔融硼冷却到 2349 K 以下。,Neutron absorption high-temperature metalloid and glassy oxide experiments.,中子吸收、高温类金属和玻璃态氧化物实验。,Neutron capture and hot oxidation release heat when nearby reactants are present.,中子俘获和高温氧化会在接触时释放热量。
OMNI_PT_GA,Liquid GA + ALUM -> recoverable BRMT(ALUM); GA + ACID or CAUS -> SALT + H2; hot GA + O2 -> SALT + FIRE.,液态镓 + 铝 -> 铝碎料；镓 + 酸液或苛性物质 -> 盐 + 氢气；高温镓 + 氧气 -> 盐 + 火焰。,Cool LAVA(GA) below 302.91 K.,把熔融镓冷却到 302.91 K 以下。,Near-room-temperature melting aluminium embrittlement and amphoteric chemistry experiments.,近室温熔化、铝脆化和两性化学实验。,Warm liquid gallium damages aluminium while reactive routes release heat.,温热液态镓会破坏铝，反应路线还会释放热量。
OMNI_PT_IN,IN + warm ACID -> SALT + H2; hot IN + O2 -> SALT + FIRE.,铟 + 温热酸液 -> 盐 + 氢气；高温铟 + 氧气 -> 盐 + 火焰。,Cool LAVA(IN) below 429.75 K.,把熔融铟冷却到 429.75 K 以下。,Soft low-melting conductor and feedstock for solder and electronic materials.,柔软低熔点导体，也是焊料和电子材料原料。,Acid hot oxygen and molten metal release hydrogen heat or fire.,酸液、高温氧气和熔融金属会释放氢气、热量或火焰。
OMNI_PT_TL,TL + ACID -> SALT + H2; hot TL + O2 -> SALT + green FIRE.,铊 + 酸液 -> 盐 + 氢气；高温铊 + 氧气 -> 盐 + 绿色火焰。,Cool LAVA(TL) below 577 K.,把熔融铊冷却到 577 K 以下。,Dense toxic low-melting conductor corrosion and oxidation experiments.,高密度有毒低熔点导体、腐蚀和氧化实验。,Deadly contact and reactive heating require sealed containment.,致命接触和反应热需要密闭围护。
OMNI_PT_NH,NH(tmp=0) -> POLO + one PHOT after 90 to 180 ticks.,鿭在 90 至 180 个刻后 -> 钋 + 一个光子。,,,Short-lived superheavy decay heat containment and shielding experiments.,短寿命超重元素、衰变热、封存和屏蔽实验。,Extremely radioactive; each decay emits at most one short-lived photon.,放射性极强；每次衰变至多发射一个短寿命光子。
OMNI_PT_GE,Warm GE + ACID -> SALT + H2; hot GE + O2 -> GLAS + FIRE; local discharge starts a 10-tick blue glow.,温热锗 + 酸液 -> 盐 + 氢气；高温锗 + 氧气 -> 玻璃态 + 火焰；局部放电会启动 10 刻蓝色辉光。,Cool LAVA(GE) below 1211.4 K or use acid oxygen and local electrical sources.,把熔融锗冷却到 1211.4 K 以下，或用于酸液、氧气和局部电源实验。,Brittle conductive semiconductor oxidation corrosion and discharge-glow experiments.,脆性导电半导体、氧化、腐蚀和放电辉光实验。,Warm acid and hot oxygen release hydrogen heat or fire; the electrical glow fades after a short time.,温热酸液和高温氧气会释放氢气、热量或火焰；放电辉光会在短时间后消失。
OMNI_PT_FL,FL(tmp=0) -> POLO + one PHOT after 60 to 130 ticks.,𫓧在 60 至 130 个刻后 -> 钋 + 一个光子。,,,Short-lived superheavy carbon-group decay heat containment and shielding experiments.,短寿命超重碳族元素、衰变热、封存和屏蔽实验。,Extremely radioactive; each decay emits at most one short-lived photon and dense samples decay in short bursts.,放射性极强；每次衰变至多发射一个短寿命光子，密集样品会分批衰变。
OMNI_PT_N,N below 77 K -> LNTG; LNTG below 63 K -> NICE; NICE above 63.1 K -> LNTG; LNTG above 77 K -> N; local discharge starts a 12-tick violet glow.,氮低于 77 K -> 液氮；液氮低于 63 K -> 氮冰；氮冰高于 63.1 K -> 液氮；液氮高于 77 K -> 氮；局部放电启动 12 刻紫色辉光。,Warm LNTG above 77 K after thawing NICE.,先融化氮冰再把液氮加热到 77 K 以上。,Atmosphere cryogenic phase-cycle and discharge-glow experiments.,气氛、低温相变循环和放电辉光实验。,Cryogenic phases can rapidly cool nearby material while high-energy discharge and plasma temperatures require containment.,低温相会快速冷却邻近材料；高能放电和等离子体温度需要围护。
OMNI_PT_P,Warm P + O2 -> DUST + FIRE; P melts at 317.3 K and its molten ctype vaporises above 554 K.,温热磷 + 氧气 -> 尘埃 + 火焰；磷在 317.3 K 熔化，其熔融类型在高于 554 K 时汽化。,Cool LAVA(P) below 317.3 K.,把熔融磷冷却到 317.3 K 以下。,Low-melting reactive nonmetal for combustion and phase-change experiments.,用于燃烧和相变实验的低熔点活泼非金属。,Toxic contact warm oxygen fire and hot vapor require sealed handling.,有毒接触、温热氧气、火焰和高温蒸气需要密闭处理。
OMNI_PT_AS,Warm AS + ACID -> SALT + H2; hot AS + O2 -> DUST + FIRE; AS above 887 K enters a sublimation material.,温热砷 + 酸液 -> 盐 + 氢气；高温砷 + 氧气 -> 尘埃 + 火焰；砷高于 887 K 时进入升华。,Heat it above 887 K to observe sublimation.,加热到 887 K 以上会发生升华。,Toxic metalloid corrosion oxidation conductivity and sublimation experiments.,有毒类金属、腐蚀、氧化、导电和升华实验。,Deadly contact acid-generated hydrogen hot oxygen and vapor require sealed containment.,致命接触、酸反应氢气、高温氧气和蒸气需要密闭围护。
OMNI_PT_SB,Warm SB + ACID -> SALT + H2; hot SB + O2 -> SALT + FIRE; molten SB vaporises above 1908 K.,温热锑 + 酸液 -> 盐 + 氢气；高温锑 + 氧气 -> 盐 + 火焰；熔融锑高于 1908 K 时汽化。,Cool LAVA(SB) below 903.8 K.,把熔融锑冷却到 903.8 K 以下。,Brittle metalloid corrosion oxidation melting and high-temperature vapor experiments.,脆性类金属、腐蚀、氧化、熔化和高温蒸气实验。,Deadly contact hydrogen fire and molten heat require sealed containment.,致命接触、氢气、火焰和熔融高温需要密闭围护。
OMNI_PT_BI,Warm BI + ACID -> SALT + H2; hot BI + O2 -> SALT + FIRE; molten BI vaporises above 1837 K.,温热铋 + 酸液 -> 盐 + 氢气；高温铋 + 氧气 -> 盐 + 火焰；熔融铋高于 1837 K 时汽化。,Cool LAVA(BI) below 544.7 K.,把熔融铋冷却到 544.7 K 以下。,Dense low-melting metal corrosion oxidation and phase-change experiments.,高密度低熔点金属、腐蚀、氧化和相变实验。,Acid-generated hydrogen fire and molten material can cause dangerous heating.,酸反应产生的氢气、火焰和熔融材料会造成危险高温。
OMNI_PT_MC,MC(tmp=0) -> NH + one PHOT after 50 to 110 ticks; NH -> POLO + one PHOT after another 90 to 180 ticks.,镆在 50 至 110 个刻后 -> 鿭 + 一个光子；鿭再经过 90 至 180 刻 -> 钋 + 一个光子。,Newly placed moscovium begins a short variable decay.,新生成的镆会开始短暂且不固定的衰变。,Two-stage superheavy nitrogen-group decay heat containment and shielding experiments.,两阶段超重氮族衰变、衰变热、封存和屏蔽实验。,Extremely radioactive; each stage emits at most one short-lived photon and dense samples decay in short bursts.,放射性极强；每段衰变至多发射一个短寿命光子，密集样品会分批衰变。
OMNI_PT_S,Warm S + O2 -> SMKE + FIRE; S melts at 388.4 K and molten S vaporises above 718 K.,温热硫 + 氧气 -> 烟雾 + 火焰；硫在 388.4 K 熔化且熔融硫在 718 K 以上汽化。,Cool LAVA(S) below 388.4 K.,把熔融硫冷却到 388.4 K 以下。,Low-melting combustible nonmetal for oxidation smoke and vapour experiments.,用于氧化、烟雾和蒸气实验的低熔点可燃非金属。,Hot oxygen fire sulfur-oxide smoke and vapor require ventilation and ignition control.,高温氧气、火焰、硫氧化物烟雾和蒸气需要通风与火源控制。
OMNI_PT_SE,Local PHOT or electrical discharge can start a 12-tick blue glow; hot SE + O2 -> DUST + FIRE; molten SE vaporises above 958 K.,局部光子或电气放电可启动 12 刻蓝色辉光；高温硒 + 氧气 -> 尘埃 + 火焰；熔融硒在 958 K 以上汽化。,Cool LAVA(SE) below 494 K.,把熔融硒冷却到 494 K 以下。,Photoreactive semiconductor for glow oxidation melting and vapour experiments.,用于辉光、氧化、熔化和蒸气实验的光敏半导体。,Deadly contact hot oxygen electrical sources and vapor require sealed handling.,致命接触、高温氧气、电源和蒸气需要密闭处理。
OMNI_PT_TE,Hot TE + O2 -> GLAS + FIRE; TE melts at 722.7 K and molten TE vaporises above 1261 K.,高温碲 + 氧气 -> 玻璃态 + 火焰；碲在 722.7 K 熔化且熔融碲在 1261 K 以上汽化。,Cool LAVA(TE) below 722.7 K.,把熔融碲冷却到 722.7 K 以下。,Brittle conductor for glass-forming oxidation melting and vapour experiments.,用于玻璃态氧化、熔化和蒸气实验的脆性导体。,Deadly contact hot oxygen molten material fire and vapor require sealed containment.,致命接触、高温氧气、熔融材料、火焰和蒸气需要密闭围护。
OMNI_PT_LV,LV(tmp=0) -> FL + one PHOT after 40 to 90 ticks; FL -> POLO + one PHOT after another 60 to 130 ticks.,𫟷在 40 至 90 个刻后 -> 𫓧 + 一个光子；𫓧再经过 60 至 130 刻 -> 钋 + 一个光子。,Newly placed livermorium begins a short variable decay.,新生成的𫟷会开始短暂且不固定的衰变。,Two-stage superheavy oxygen-group decay heat containment and shielding experiments.,两阶段超重氧族元素、衰变热、封存和屏蔽实验。,Extremely radioactive; each stage emits at most one short-lived photon and dense samples decay in short bursts.,放射性极强；每段衰变至多发射一个短寿命光子，密集样品会分批衰变。
OMNI_PT_F,F + water -> 2 ACID; F + H2 -> 2 ACID; F + reactive metal -> 2 SALT; F + biological contaminant -> SALT + DUST.,氟 + 水 -> 2 份酸液；氟 + 氢气 -> 2 份酸液；氟 + 活泼金属 -> 2 份盐；氟 + 生物污染物 -> 盐 + 尘埃。,,,Strong oxidizer water-acid metal-halide corrosion and disinfection experiments.,强氧化剂、水成酸、金属卤化腐蚀和消毒实验。,Deadly gas reacts rapidly with water hydrogen metals and biological material while releasing heat and pressure.,致命气体会快速与水、氢气、金属和生物材料反应，并释放热量和压力。
OMNI_PT_BR,Warm BR + H2 -> 2 ACID; BR + reactive metal -> 2 SALT; BR + contaminant -> SALT + DUST; BR above 332 K -> SMKE(BR).,温热溴 + 氢气 -> 2 份酸液；溴 + 活泼金属 -> 2 份盐；溴 + 污染物 -> 盐 + 尘埃；溴在 332 K 以上 -> 烟雾。,,,Dense liquid-halogen flow corrosion disinfection acid formation and vapour experiments.,高密度液态卤素流动、腐蚀、消毒、成酸和蒸气实验。,Deadly liquid acid salt-forming heat and coloured vapour require sealed containment.,致命液体、成酸和成盐热量及着色蒸气需要密闭围护。
OMNI_PT_I,Warm I + H2 -> 2 ACID; I + reactive metal -> 2 SALT; I + contaminant -> SALT + DUST; I melts at 386.85 K and vaporises above 457 K.,温热碘 + 氢气 -> 2 份酸液；碘 + 活泼金属 -> 2 份盐；碘 + 污染物 -> 盐 + 尘埃；碘在 386.85 K 熔化并在 457 K 以上汽化。,Cool LAVA(I) below 386.85 K.,把熔融碘冷却到 386.85 K 以下。,Solid-halogen melting corrosion disinfection acid formation and purple-vapour experiments.,固态卤素熔化、腐蚀、消毒、成酸和紫色蒸气实验。,Deadly contact acid molten iodine and hot vapour require sealed handling.,致命接触、酸液、熔融碘和高温蒸气需要密闭处理。
OMNI_PT_AT,AT can slowly form ACID or SALT before AT(tmp=0) -> POLO + one PHOT after 240 to 480 ticks.,砹可在衰变前缓慢形成酸液或盐；砹在 240 至 480 个刻后 -> 钋 + 一个光子。,,,Radioactive halogen chemistry melting decay heat containment and shielding experiments.,放射性卤素化学、熔化、衰变热、封存和屏蔽实验。,Deadly corrosion molten heat and radioactive decay emit heat and one short-lived photon.,致命腐蚀、熔融热和放射性衰变会释放热量及一个短寿命光子。
OMNI_PT_TS,TS(tmp=0) -> MC + one PHOT after 35 to 75 ticks; MC -> NH -> POLO emits two more PHOT stages.,鿬在 35 至 75 个刻后 -> 镆 + 一个光子；随后镆 -> 鿭 -> 钋还会产生两个光子阶段。,Newly placed tennessine begins a short variable decay chain.,新生成的鿬会开始短暂且不固定的衰变链。,Three-stage superheavy halogen decay-chain heat containment and shielding experiments.,三阶段超重卤素衰变链、衰变热、封存和屏蔽实验。,Extremely radioactive; every stage emits at most one short-lived photon and dense samples decay in short bursts.,放射性极强；每段至多发射一个短寿命光子，密集样品会分批衰变。
OMNI_PT_SC,Warm SC + ACID -> SALT + H2; hot SC + O2 -> recoverable BRMT + FIRE; local discharge gives SC a 12-tick blue glow and one PHOT.,温热钪 + 酸液 -> 盐 + 氢气；高温钪 + 氧气 -> 可回收碎料 + 火焰；局部放电使钪产生 12 刻蓝色辉光和一个光子。,Cool LAVA(SC) below 1814 K.,把熔融钪冷却到 1814 K 以下。,Light conductive transition-metal corrosion phase-change and discharge-lamp experiments.,轻质导电过渡金属、腐蚀、相变和放电灯实验。,Acid hydrogen hot oxygen molten metal and vapour require controlled containment.,酸液、氢气、高温氧气、熔融金属和蒸气需要受控围护。
OMNI_PT_V,Hot V + molten STEL -> two molten TSTL products; warm V + ACID -> SALT + H2; hot V + O2 -> recoverable BRMT + FIRE.,高温钒 + 熔融钢 -> 两份熔融工具钢；温热钒 + 酸液 -> 盐 + 氢气；高温钒 + 氧气 -> 可回收碎料 + 火焰。,Cool LAVA(V) below 2183 K.,把熔融钒冷却到 2183 K 以下。,High-melting metal tool-steel alloy corrosion oxidation and vapour experiments.,高熔点金属、工具钢合金、腐蚀、氧化和蒸气实验。,Molten steel acid hydrogen hot oxygen and metal vapour require refractory containment.,熔融钢、酸液、氢气、高温氧气和金属蒸气需要耐火围护。
OMNI_PT_MN,Hot MN + molten IRON or STEL + O2 -> two molten STEL products + SLAG; warm MN + ACID -> SALT + H2; hot MN + O2 -> recoverable BRMT + FIRE.,高温锰 + 熔融铁或钢 + 氧气 -> 两份熔融钢 + 炉渣；温热锰 + 酸液 -> 盐 + 氢气；高温锰 + 氧气 -> 可回收碎料 + 火焰。,Cool LAVA(MN) below 1519 K.,把熔融锰冷却到 1519 K 以下。,Brittle transition-metal steel deoxidation corrosion oxidation and phase-change experiments.,脆性过渡金属、钢液脱氧、腐蚀、氧化和相变实验。,Acid hydrogen oxygen molten iron hot slag and metal vapour require controlled handling.,酸液、氢气、氧气、熔融铁、高温炉渣和金属蒸气需要受控处理。
OMNI_PT_Y,Local discharge + Y -> Y{life=12} + one PHOT; warm Y + ACID -> SALT + H2; hot Y + O2 -> recoverable BRMT + FIRE.,局部放电 + 钇 -> 12 刻辉光钇 + 一个光子；温热钇 + 酸液 -> 盐 + 氢气；高温钇 + 氧气 -> 可回收碎料 + 火焰。,Cool LAVA(Y) below 1799 K.,把熔融钇冷却到 1799 K 以下。,Reactive light transition-metal discharge glow corrosion oxidation and phase-change experiments.,活泼轻质过渡金属、放电辉光、腐蚀、氧化和相变实验。,Acid hydrogen hot oxygen molten metal short-lived photons and metal vapour require controlled containment.,酸液、氢气、高温氧气、熔融金属、光子和金属蒸气需要受控围护。
OMNI_PT_ZR,Hot ZR + WATR or WTRV -> recoverable BRMT + H2 + FIRE; warm ZR + ACID -> SALT + H2; hot ZR + O2 -> recoverable BRMT + FIRE.,高温锆 + 水或水蒸气 -> 可回收碎料 + 氢气 + 火焰；温热锆 + 酸液 -> 盐 + 氢气；高温锆 + 氧气 -> 可回收碎料 + 火焰。,Cool LAVA(ZR) below 2128 K.,把熔融锆冷却到 2128 K 以下。,Refractory metal steam oxidation hydrogen generation corrosion and phase-change experiments.,耐火金属、蒸汽氧化、制氢、腐蚀和相变实验。,Hot steam hydrogen fire acid molten zirconium and vapour require refractory containment.,高温蒸汽、氢气、火焰、酸液、熔融锆和蒸气需要耐火围护。
OMNI_PT_NB,Warm NB + ACID above 550 K -> SALT + H2; hot NB + O2 above 1000 K -> recoverable BRMT + FIRE; molten NB vaporises above 5017 K.,温热铌在 550 K 以上 + 酸液 -> 盐 + 氢气；高温铌在 1000 K 以上 + 氧气 -> 可回收碎料 + 火焰；熔融铌在 5017 K 以上汽化。,Cool LAVA(NB) below 2750 K.,把熔融铌冷却到 2750 K 以下。,Very-high-melting conductor acid-resistance oxidation-resistance and extreme-temperature experiments.,极高熔点导体、耐酸、抗氧化和极端温度实验。,Extreme molten heat acid hot oxygen fire hydrogen and metal vapour require refractory containment.,极端熔融高温、酸液、高温氧气、火焰、氢气和金属蒸气需要耐火围护。
OMNI_PT_TC,TC or LAVA(TC) -> RU + one PHOT after 600 to 1200 ticks; warm TC + ACID -> SALT + H2; hot TC + O2 -> recoverable BRMT + FIRE.,锝或熔融锝在 600 至 1200 个刻后 -> 钌 + 一个光子；温热锝 + 酸液 -> 盐 + 氢气；高温锝 + 氧气 -> 可回收碎料 + 火焰。,,,Radioactive refractory-metal decay heat corrosion oxidation and shielding experiments.,放射性耐火金属、衰变热、腐蚀、氧化和屏蔽实验。,Radioactivity decay heat short-lived photons acid hydrogen molten metal and vapour require shielding and containment.,放射性、衰变热、光子、酸液、氢气、熔融金属和蒸气需要屏蔽与围护。
OMNI_PT_RU,Hot RU + adjacent H2 + O2 -> two WATR while RU remains; warm RU + ACID -> SALT + H2; hot RU + O2 -> recoverable BRMT + FIRE.,高温钌 + 邻近氢气 + 氧气 -> 两份水且钌保留；温热钌 + 酸液 -> 盐 + 氢气；高温钌 + 氧气 -> 可回收碎料 + 火焰。,Cool LAVA(RU) below 2607 K or obtain it from TC decay.,把熔融钌冷却到 2607 K 以下，或通过锝衰变获得。,Refractory platinum-group catalyst hydrogen oxidation conductor and corrosion experiments.,耐火铂族催化剂、氢气氧化、导电和腐蚀实验。,Hydrogen oxygen reaction heat acid molten ruthenium and vapour require ignition control and refractory containment.,氢氧反应热、酸液、熔融钌和蒸气需要点火控制与耐火围护。
OMNI_PT_RH,Warm RH + adjacent H2 + O2 -> two WATR while RH remains; hot RH + O2 -> recoverable BRMT + FIRE; molten RH vaporises above 3968 K.,温热铑 + 邻近氢气 + 氧气 -> 两份水且铑保留；高温铑 + 氧气 -> 可回收碎料 + 火焰；熔融铑在 3968 K 以上汽化。,Cool LAVA(RH) below 2237 K.,把熔融铑冷却到 2237 K 以下。,Corrosion-resistant lower-temperature hydrogen oxidation catalyst and phase-change experiments.,耐腐蚀低温氢氧催化剂和相变实验。,Hydrogen oxygen reaction heat acid molten rhodium and vapour require ignition control and refractory containment.,氢氧反应热、酸液、熔融铑和蒸气需要点火控制与耐火围护。
